camera,side,time_s,BFI,BVI
0,left,4.8,4.68484,7.2286
0,left,4.825,4.60113,7.31789
0,left,4.85,4.61583,7.41131
0,left,4.875,4.60791,7.31511
0,left,4.9,4.49178,7.28167
0,left,4.925,4.47438,7.40995
0,left,4.95,4.62272,7.42961
0,left,4.975,4.55237,7.69043
0,left,5.0,4.96081,7.93257
0,left,5.025,5.33037,7.95503
0,left,5.05,5.2966,7.9577
0,left,5.075,5.49759,8.12318
0,left,5.1,6.12532,7.93183
0,left,5.125,5.69393,8.0043
0,left,5.15,5.49337,8.03064
0,left,5.175,5.70327,7.82168
0,left,5.2,5.29684,7.70522
0,left,5.225,5.18764,7.86221
0,left,5.25,4.92595,7.65764
0,left,5.275,4.89365,7.65638
0,left,5.3,5.04685,7.61792
0,left,5.325,4.89429,7.51345
0,left,5.35,4.9383,7.55969
0,left,5.375,4.55269,7.3902
0,left,5.4,4.84769,7.28542
0,left,5.425,4.65975,7.29133
0,left,5.45,4.80564,7.19554
0,left,5.475,4.89752,7.21856
0,left,5.5,4.36502,7.03144
0,left,5.525,4.99708,7.23118
0,left,5.55,4.36871,7.44465
0,left,5.575,4.2295,7.47329
0,left,5.6,4.50078,7.38816
0,left,5.625,4.41074,7.47992
0,left,5.65,4.66757,7.77302
0,left,5.675,4.58268,7.66794
0,left,5.7,4.99433,7.85228
0,left,5.725,5.31328,7.65795
0,left,5.75,5.3281,7.846
0,left,5.775,5.49419,7.92212
0,left,5.8,6.1426,8.04723
0,left,5.825,5.65996,8.09585
0,left,5.85,5.87102,7.94434
0,left,5.875,5.6572,8.08683
0,left,5.9,5.28486,7.78827
0,left,5.925,4.98519,7.93901
0,left,5.95,5.47978,7.81152
0,left,5.975,5.00099,7.76666
0,left,6.0,4.66076,7.49863
0,left,6.025,4.9091,7.58261
0,left,6.05,4.62274,7.45665
0,left,6.075,4.66441,7.38803
0,left,6.1,4.50287,7.18794
0,left,6.125,4.95398,7.18195
0,left,6.15,4.57048,7.33735
0,left,6.175,4.4174,7.38087
0,left,6.2,4.19249,7.17147
0,left,6.225,4.06216,7.25436
0,left,6.25,4.97039,7.18422
0,left,6.275,4.43961,7.50656
0,left,6.3,4.39441,7.37386
0,left,6.325,4.76035,7.40698
0,left,6.35,4.34687,7.56502
0,left,6.375,3.98555,7.81896
0,left,6.4,4.62173,8.01324
0,left,6.425,5.16455,8.03076
0,left,6.45,5.07477,7.88758
0,left,6.475,5.09283,7.84514
0,left,6.5,5.75353,7.96954
0,left,6.525,5.4723,8.00744
0,left,6.55,5.86529,7.94275
0,left,6.575,5.59618,7.8192
0,left,6.6,5.53733,7.79236
0,left,6.625,5.04924,7.86923
0,left,6.65,4.82017,7.69761
0,left,6.675,4.95371,7.6576
0,left,6.7,5.26379,7.56216
0,left,6.725,5.21795,7.41805
0,left,6.75,5.01695,7.39916
0,left,6.775,4.79474,7.47592
0,left,6.8,4.81874,7.14487
0,left,6.825,4.84929,7.34293
0,left,6.85,4.81604,7.44667
0,left,6.875,4.55551,7.04243
0,left,6.9,4.26035,7.32215
0,left,6.925,4.44092,7.28523
0,left,6.95,4.13477,7.20241
0,left,6.975,4.53866,7.25071
0,left,7.0,4.33288,7.45857
0,left,7.025,4.94828,7.33161
0,left,7.05,4.32312,7.53487
0,left,7.075,4.56059,7.56931
0,left,7.1,4.20363,7.80499
0,left,7.125,4.35397,7.73914
0,left,7.15,4.97568,7.84019
0,left,7.175,5.0681,7.92216
0,left,7.2,5.50134,8.06033
0,left,7.225,5.56864,8.03306
0,left,7.25,5.72206,8.01358
0,left,7.275,5.80444,7.9185
0,left,7.3,5.41281,7.89711
0,left,7.325,5.25536,7.80959
0,left,7.35,5.26341,7.87785
0,left,7.375,4.5069,7.87546
0,left,7.4,4.68525,7.69343
0,left,7.425,5.04258,7.61413
0,left,7.45,4.6973,7.34292
0,left,7.475,4.60588,7.34319
0,left,7.5,4.83325,7.35832
0,left,7.525,4.71326,7.44394
0,left,7.55,4.638,7.23597
0,left,7.575,4.82337,7.2312
0,left,7.6,4.46932,7.11881
0,left,7.625,4.74935,7.34764
0,left,7.65,4.50892,7.23147
0,left,7.675,4.67601,7.29647
0,left,7.7,4.37618,7.40979
0,left,7.725,4.42071,7.4663
0,left,7.75,4.30739,7.50785
0,left,7.775,4.52701,7.58559
0,left,7.8,4.50106,7.76475
0,left,7.825,4.54846,7.86349
0,left,7.85,5.12557,7.80099
0,left,7.875,4.66537,7.79984
0,left,7.9,5.35495,7.89303
0,left,7.925,5.6384,8.02968
0,left,7.95,5.83449,8.08163
0,left,7.975,6.06892,7.90731
0,left,8.0,5.79491,7.99473
0,left,8.025,5.57253,8.03972
0,left,8.05,5.35241,7.80137
0,left,8.075,5.4756,7.89842
0,left,8.1,5.30726,7.66711
0,left,8.125,4.87296,7.58737
0,left,8.15,4.94862,7.47611
0,left,8.175,4.90952,7.413
0,left,8.2,4.56603,7.26578
0,left,8.225,5.07149,7.22696
0,left,8.25,4.7871,7.33245
0,left,8.275,4.70866,7.25079
0,left,8.3,4.64347,7.2285
0,left,8.325,4.42547,7.25755
0,left,8.35,4.18155,7.18119
0,left,8.375,4.68001,7.19925
0,left,8.4,4.47271,7.34981
0,left,8.425,4.64799,7.57224
0,left,8.45,4.52631,7.62787
0,left,8.475,4.73326,7.4035
0,left,8.5,4.46019,7.823
0,left,8.525,4.53298,7.82244
0,left,8.55,4.7148,7.80668
0,left,8.575,4.95826,7.88039
0,left,8.6,5.42652,7.92271
0,left,8.625,5.66363,8.04642
0,left,8.65,6.16487,7.98941
0,left,8.675,6.18784,8.10146
0,left,8.7,5.37749,7.85513
0,left,8.725,5.35136,7.8935
0,left,8.75,5.64565,7.77503
0,left,8.775,4.79267,7.72644
0,left,8.8,5.36589,7.71681
0,left,8.825,5.23839,7.35091
0,left,8.85,4.90094,7.30897
0,left,8.875,4.6309,7.58851
0,left,8.9,4.94616,7.34162
0,left,8.925,4.75325,7.41257
0,left,8.95,4.71539,7.3243
0,left,8.975,4.71501,7.15579
0,left,9.0,4.92376,7.18094
0,left,9.025,4.70736,7.24681
0,left,9.05,4.64632,7.12096
0,left,9.075,4.35068,7.45433
0,left,9.1,4.6867,7.28057
0,left,9.125,4.63241,7.48649
0,left,9.15,4.52593,7.50818
0,left,9.175,4.63453,7.50406
0,left,9.2,4.64854,7.79132
0,left,9.225,4.78327,7.90122
0,left,9.25,5.00915,7.88557
0,left,9.275,4.97657,7.95357
0,left,9.3,5.07051,7.88284
0,left,9.325,6.22368,8.16685
0,left,9.35,6.13425,8.10269
0,left,9.375,5.83093,7.95465
0,left,9.4,6.06195,8.04638
0,left,9.425,5.50304,7.94638
0,left,9.45,4.98059,7.83867
0,left,9.475,5.48075,7.81309
0,left,9.5,4.98916,7.8788
0,left,9.525,4.94797,7.72734
0,left,9.55,5.16129,7.68464
0,left,9.575,5.39459,7.42951
0,left,9.6,5.10128,7.36222
0,left,9.625,5.07684,7.43577
0,left,9.65,4.65656,7.15179
0,left,9.675,4.329,7.34215
0,left,9.7,4.77408,7.16467
0,left,9.725,4.63939,7.08948
0,left,9.75,4.33538,7.46708
0,left,9.775,4.47141,7.19166
0,left,9.8,4.75011,7.45057
0,left,9.825,4.4934,7.42829
0,left,9.85,4.53024,7.54352
0,left,9.875,4.97336,7.65539
0,left,9.9,4.77609,7.66848
0,left,9.925,4.526,7.65967
0,left,9.95,4.76089,7.64888
0,left,9.975,5.00021,7.78772
0,left,10.0,5.35455,7.77183
0,left,10.025,5.65667,8.01624
0,left,10.05,5.9398,8.12394
0,left,10.075,5.87888,7.90391
0,left,10.1,5.90668,8.10389
0,left,10.125,5.56943,7.80777
0,left,10.15,5.44633,7.78431
0,left,10.175,5.60407,7.84233
0,left,10.2,5.01478,7.73843
0,left,10.225,5.06248,7.7508
0,left,10.25,5.01896,7.47366
0,left,10.275,4.68911,7.45778
0,left,10.3,4.79697,7.50161
0,left,10.325,4.75524,7.26173
0,left,10.35,5.04525,7.23772
0,left,10.375,4.60902,7.24447
0,left,10.4,4.62873,7.282
0,left,10.425,4.31946,7.5473
0,left,10.45,4.89589,7.20502
0,left,10.475,4.90071,7.31345
0,left,10.5,5.12861,7.3542
0,left,10.525,5.03572,7.44125
0,left,10.55,4.73043,7.3262
0,left,10.575,4.49191,7.61288
0,left,10.6,4.56959,7.62035
0,left,10.625,4.86467,7.78672
0,left,10.65,4.84708,7.85451
0,left,10.675,5.18069,7.82974
0,left,10.7,5.53597,7.93548
0,left,10.725,5.9629,8.08713
0,left,10.75,6.08873,7.90473
0,left,10.775,6.07224,8.01477
0,left,10.8,5.97171,8.0914
0,left,10.825,5.60833,7.92717
0,left,10.85,5.83016,7.82175
0,left,10.875,5.34734,7.75717
0,left,10.9,5.47855,7.71083
0,left,10.925,5.65771,7.48122
0,left,10.95,5.19348,7.43429
0,left,10.975,4.92368,7.60417
0,left,11.0,4.91071,7.36976
0,left,11.025,5.10093,7.35193
0,left,11.05,5.06454,7.48943
0,left,11.075,4.90027,7.09054
0,left,11.1,4.82105,7.20758
0,left,11.125,4.65148,7.10198
0,left,11.15,4.77995,7.2193
0,left,11.175,4.66113,7.21899
0,left,11.2,4.28869,7.13095
0,left,11.225,5.09787,7.33664
0,left,11.25,4.50816,7.44013
0,left,11.275,5.00659,7.28852
0,left,11.3,4.58293,7.6233
0,left,11.325,5.14498,7.72072
0,left,11.35,4.7092,7.8533
0,left,11.375,4.86799,7.71059
0,left,11.4,5.20843,7.91952
0,left,11.425,5.1882,8.07536
0,left,11.45,6.0422,7.97426
0,left,11.475,6.19055,7.98801
0,left,11.5,6.30007,7.84794
0,left,11.525,6.16558,8.06188
0,left,11.55,5.66963,7.84188
0,left,11.575,5.42877,7.68873
0,left,11.6,5.1104,7.70657
0,left,11.625,5.29986,7.71833
0,left,11.65,4.91549,7.55075
0,left,11.675,4.97979,7.49108
0,left,11.7,5.35223,7.38388
0,left,11.725,5.15722,7.23476
0,left,11.75,4.90529,7.36812
0,left,11.775,4.95639,7.17286
0,left,11.8,5.14297,7.22861
0,left,11.825,4.72437,7.12862
0,left,11.85,4.69516,7.07791
0,left,11.875,4.62063,7.23265
0,left,11.9,4.7088,7.47284
0,left,11.925,4.83317,7.31672
0,left,11.95,4.83802,7.33497
0,left,11.975,4.70128,7.68167
0,left,12.0,5.03775,7.54876
0,left,12.025,4.33138,7.84145
0,left,12.05,5.1085,7.7749
0,left,12.075,5.02966,7.8462
0,left,12.1,5.32394,7.96957
0,left,12.125,5.77098,7.89622
0,left,12.15,6.11288,7.86534
0,left,12.175,5.84823,7.92769
0,left,12.2,6.16202,8.07889
0,left,12.225,6.03479,8.00551
0,left,12.25,6.01281,7.9307
0,left,12.275,5.53977,7.94802
0,left,12.3,5.59618,7.72272
0,left,12.325,5.08603,7.50582
0,left,12.35,5.53429,7.51545
0,left,12.375,5.31798,7.5643
0,left,12.4,5.00536,7.55045
0,left,12.425,5.17806,7.45561
0,left,12.45,5.20707,7.25456
0,left,12.475,4.89055,7.19771
0,left,12.5,4.99339,7.16936
0,left,12.525,4.99105,7.02717
0,left,12.55,4.68149,7.24714
0,left,12.575,4.47089,7.29281
0,left,12.6,5.00098,7.36139
0,left,12.625,4.49874,7.31508
0,left,12.65,5.02226,7.56109
0,left,12.675,4.49709,7.48468
0,left,12.7,4.6053,7.61404
0,left,12.725,4.82893,7.57006
0,left,12.75,4.59917,7.77927
0,left,12.775,4.88686,7.90463
0,left,12.8,5.15815,7.77755
0,left,12.825,5.84767,7.90485
0,left,12.85,6.23022,8.11886
0,left,12.875,6.25646,7.91654
0,left,12.9,6.13357,8.00863
0,left,12.925,6.07029,7.94597
0,left,12.95,5.84374,7.88914
0,left,12.975,5.2404,8.03078
0,left,13.0,5.53358,7.75497
0,left,13.025,4.96164,7.7356
0,left,13.05,5.77182,7.60577
0,left,13.075,5.25201,7.4647
0,left,13.1,5.05913,7.45219
0,left,13.125,5.38863,7.32583
0,left,13.15,5.11852,7.30358
0,left,13.175,4.825,7.28292
0,left,13.2,4.81032,7.2102
0,left,13.225,4.96386,7.08921
0,left,13.25,4.70571,7.11669
0,left,13.275,4.76367,7.36006
0,left,13.3,4.72453,7.38007
0,left,13.325,5.0723,7.24947
0,left,13.35,4.93883,7.32692
0,left,13.375,4.85525,7.49921
0,left,13.4,4.57119,7.57829
0,left,13.425,4.49619,7.67363
0,left,13.45,5.06866,7.61471
0,left,13.475,5.49822,7.92948
0,left,13.5,5.41169,7.85133
0,left,13.525,5.97528,7.8895
0,left,13.55,5.9009,7.8723
0,left,13.575,6.09372,7.9358
0,left,13.6,6.0981,7.75029
0,left,13.625,5.64579,8.04212
0,left,13.65,5.34725,7.7906
0,left,13.675,5.81988,8.01079
0,left,13.7,5.36547,7.66381
0,left,13.725,4.88652,7.7563
0,left,13.75,5.35706,7.66515
0,left,13.775,5.38165,7.58
0,left,13.8,5.05138,7.40189
0,left,13.825,4.67755,7.40416
0,left,13.85,4.97821,7.32074
0,left,13.875,4.983,7.25523
0,left,13.9,4.95203,7.26219
0,left,13.925,4.63963,7.12123
0,left,13.95,4.62075,7.26429
0,left,13.975,4.99542,7.1466
0,left,14.0,4.61467,7.27279
0,left,14.025,4.49676,7.25869
0,left,14.05,4.89585,7.59942
0,left,14.075,4.64577,7.2909
0,left,14.1,4.10037,7.54681
0,left,14.125,4.58787,7.86442
0,left,14.15,4.82667,7.77396
0,left,14.175,4.88842,7.81031
0,left,14.2,5.54047,7.85639
0,left,14.225,5.8671,7.94176
0,left,14.25,6.09861,8.05477
0,left,14.275,5.81223,7.92778
0,left,14.3,6.03952,7.86319
0,left,14.325,5.74583,7.82819
0,left,14.35,5.82745,7.96069
0,left,14.375,5.40366,7.88194
0,left,14.4,5.29618,7.67519
0,left,14.425,5.12132,7.84375
0,left,14.45,5.0959,7.64485
0,left,14.475,5.19047,7.58949
0,left,14.5,5.00959,7.53765
0,left,14.525,4.97335,7.43933
0,left,14.55,4.95731,7.33334
0,left,14.575,4.74776,7.26157
0,left,14.6,4.6671,7.31016
0,left,14.625,4.47387,7.10403
0,left,14.65,4.65824,7.09082
0,left,14.675,4.94339,7.36121
0,left,14.7,4.51421,7.20045
0,left,14.725,4.61553,7.20957
0,left,14.75,4.62898,7.45843
0,left,14.775,4.51786,7.39951
0,left,14.8,4.60249,7.55982
0,left,14.825,4.94192,7.6032
0,left,14.85,4.732,7.71415
0,left,14.875,4.94593,7.7345
0,left,14.9,5.40357,7.83466
0,left,14.925,5.74347,7.92703
0,left,14.95,5.99447,7.9448
0,left,14.975,5.81529,8.07762
0,right,0.0,4.67821,7.64893
0,right,0.025,4.92735,7.59172
0,right,0.05,5.36841,7.9508
0,right,0.075,5.47836,7.79316
0,right,0.1,5.63682,7.93829
0,right,0.125,6.02236,7.97194
0,right,0.15,5.85733,7.81078
0,right,0.175,5.5346,8.03575
0,right,0.2,5.69043,8.05444
0,right,0.225,5.35667,7.9838
0,right,0.25,5.149,8.09686
0,right,0.275,5.1633,7.89558
0,right,0.3,5.0032,7.64977
0,right,0.325,4.74738,7.65511
0,right,0.35,5.0612,7.51349
0,right,0.375,4.85548,7.75655
0,right,0.4,4.72418,7.30432
0,right,0.425,4.69843,7.34705
0,right,0.45,4.8712,7.53769
0,right,0.475,4.59004,7.26902
0,right,0.5,4.56604,6.9987
0,right,0.525,4.5914,7.4362
0,right,0.55,4.66617,7.16162
0,right,0.575,4.5761,7.16314
0,right,0.6,4.67771,7.17779
0,right,0.625,4.41078,7.51592
0,right,0.65,4.69506,7.43228
0,right,0.675,4.63836,7.31134
0,right,0.7,4.52575,7.48903
0,right,0.725,5.05301,7.67923
0,right,0.75,5.34348,7.6737
0,right,0.775,5.28126,7.81909
0,right,0.8,5.86538,7.83105
0,right,0.825,6.0421,7.84818
0,right,0.85,6.11179,7.946
0,right,0.875,5.74952,8.03748
0,right,0.9,5.58681,8.08656
0,right,0.925,5.42407,8.09945
0,right,0.95,5.20799,7.82947
0,right,0.975,5.20938,7.85253
0,right,1.0,5.18182,7.76975
0,right,1.025,5.16808,7.61271
0,right,1.05,4.89427,7.58826
0,right,1.075,4.83742,7.71577
0,right,1.1,4.79655,7.39551
0,right,1.125,4.96089,7.54465
0,right,1.15,4.79874,7.28424
0,right,1.175,4.79845,7.27729
0,right,1.2,4.75076,7.14919
0,right,1.225,4.87066,7.22253
0,right,1.25,4.60512,7.25046
0,right,1.275,4.86185,7.3361
0,right,1.3,4.72333,7.22955
0,right,1.325,4.80587,7.33886
0,right,1.35,4.73509,7.42294
0,right,1.375,4.78049,7.51916
0,right,1.4,4.76062,7.47259
0,right,1.425,4.86721,7.59828
0,right,1.45,5.24792,7.55801
0,right,1.475,5.51982,7.70376
0,right,1.5,5.94448,7.9182
0,right,1.525,5.89189,7.83406
0,right,1.55,5.99151,8.16253
0,right,1.575,5.80747,7.78091
0,right,1.6,5.3504,8.15834
0,right,1.625,5.50344,8.24915
0,right,1.65,5.18009,8.00431
0,right,1.675,5.23221,8.05959
0,right,1.7,5.37101,7.68657
0,right,1.725,5.24702,7.62161
0,right,1.75,4.9688,7.65541
0,right,1.775,5.05998,7.56283
0,right,1.8,4.87583,7.68667
0,right,1.825,4.82343,7.51854
0,right,1.85,4.71357,7.18096
0,right,1.875,4.67226,7.2166
0,right,1.9,4.58008,7.15629
0,right,1.925,4.51666,7.1687
0,right,1.95,4.57954,7.21932
0,right,1.975,4.69596,7.28806
0,right,2.0,4.82113,7.33973
0,right,2.025,4.75037,7.2789
0,right,2.05,4.68202,7.42482
0,right,2.075,4.67598,7.46084
0,right,2.1,4.86402,7.50438
0,right,2.125,5.19194,7.74718
0,right,2.15,5.47445,7.71573
0,right,2.175,5.79415,7.88464
0,right,2.2,6.03731,7.84758
0,right,2.225,6.00016,7.94164
0,right,2.25,5.58454,8.01869
0,right,2.275,5.71268,8.01222
0,right,2.3,5.29155,8.09678
0,right,2.325,5.26631,7.88809
0,right,2.35,5.27608,8.04818
0,right,2.375,5.17483,7.88753
0,right,2.4,5.06032,7.86846
0,right,2.425,4.93588,7.83396
0,right,2.45,5.04594,7.68706
0,right,2.475,4.91732,7.6361
0,right,2.5,5.0019,7.32523
0,right,2.525,4.8032,7.41622
0,right,2.55,4.72472,7.27485
0,right,2.575,4.78616,7.31247
0,right,2.6,4.51219,7.25785
0,right,2.625,4.76151,7.27259
0,right,2.65,4.71503,7.27665
0,right,2.675,4.58142,7.35709
0,right,2.7,4.6928,7.15678
0,right,2.725,4.66346,7.18449
0,right,2.75,4.89187,7.51295
0,right,2.775,5.5575,7.28098
0,right,2.8,5.5668,7.62938
0,right,2.825,5.76317,7.52966
0,right,2.85,5.97518,7.7036
0,right,2.875,6.00406,7.75244
0,right,2.9,5.93129,8.06201
0,right,2.925,5.64852,7.92462
0,right,2.95,5.66696,7.85168
0,right,2.975,5.32282,7.93558
0,right,3.0,5.34225,8.12982
0,right,3.025,5.27654,7.98896
0,right,3.05,5.19196,8.0933
0,right,3.075,5.23213,7.97174
0,right,3.1,5.07415,7.72142
0,right,3.125,5.03084,7.65831
0,right,3.15,5.10133,7.72212
0,right,3.175,4.80335,7.57704
0,right,3.2,5.04199,7.68967
0,right,3.225,4.78951,7.46638
0,right,3.25,4.64191,7.38461
0,right,3.275,4.71242,7.40154
0,right,3.3,5.02207,7.38608
0,right,3.325,4.83357,7.20276
0,right,3.35,4.69343,7.28617
0,right,3.375,4.84815,7.25637
0,right,3.4,4.59552,7.31085
0,right,3.425,4.56493,7.28578
0,right,3.45,4.70511,7.3358
0,right,3.475,4.6089,7.22014
0,right,3.5,5.092,7.4581
0,right,3.525,5.26616,7.55326
0,right,3.55,5.39133,7.44547
0,right,3.575,5.5541,7.85612
0,right,3.6,5.92073,7.73255
0,right,3.625,6.06061,7.93112
0,right,3.65,6.19775,8.08083
0,right,3.675,5.61734,7.92851
0,right,3.7,5.43993,7.95185
0,right,3.725,5.48997,7.86183
0,right,3.75,5.35172,8.02018
0,right,3.775,5.07047,8.11415
0,right,3.8,5.08715,7.875
0,right,3.825,4.87432,7.8976
0,right,3.85,4.97654,7.71688
0,right,3.875,4.96565,7.56075
0,right,3.9,4.98644,7.46334
0,right,3.925,4.74087,7.48222
0,right,3.95,4.65368,7.3728
0,right,3.975,4.82727,7.24954
0,right,4.0,4.72893,7.38011
0,right,4.025,4.7003,7.22523
0,right,4.05,4.72003,7.10044
0,right,4.075,4.72941,7.08567
0,right,4.1,4.50791,7.08153
0,right,4.125,4.79854,7.10584
0,right,4.15,4.71758,7.11603
0,right,4.175,4.60778,7.4811
0,right,4.2,4.6361,7.45042
0,right,4.225,4.61677,7.56521
0,right,4.25,5.00665,7.72404
0,right,4.275,5.26451,7.68166
0,right,4.3,5.65418,7.81489
0,right,4.325,5.9139,7.9378
0,right,4.35,5.96358,7.95039
0,right,4.375,6.04031,7.97115
